image_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
apple_1_1_110,0.890346,-0.642688,-3.50757,24.3668,-1.11766,-2.73394,-4.57352,-4.15985,1.24639,-4.18153,0.00362378,-1.52324,-0.363579,5.3634,-1.34464,-4.7637,3.50568,-1.8567,-4.80603,1.78892,0.931942,-2.55951,0.698815,-0.136806,-2.08774,-1.87006,-2.35078,-3.73899,6.53639,5.31008,-2.18966,-2.91126,-4.25304,-2.99307,-1.30007,-3.1872,-0.914219,0.126452,4.49367,-3.79226,5.43661,-0.793186,-1.88066,3.51016,-1.98631,-3.39121,3.2551,5.00801,4.19907,0.396362,-0.132022
apple_1_1_188,0.820825,-0.911297,-3.57628,20.0877,-1.18065,-2.54567,-4.62966,-3.81364,0.757576,-3.24212,-0.392264,-0.153304,-0.163177,5.38485,-1.03186,-3.14689,3.25138,-1.5162,-4.53623,1.73138,0.621321,-1.68101,0.467172,0.0295191,-1.49336,-1.4115,-1.28298,-2.97205,6.03019,2.97558,-2.58677,-3.04311,-3.49334,-2.4285,-1.13456,-3.43533,-1.20779,-0.213494,3.90601,-2.42336,4.90121,-0.655831,-2.98015,2.69899,-1.3906,-1.90718,2.43726,3.65702,4.54325,0.241545,-0.318186
apple_1_2_190,1.32832,-0.299866,-2.62548,20.7311,-1.44714,-2.228,-3.65339,-3.08158,0.819215,-3.30609,-0.787225,-0.111252,-0.163387,3.50613,-1.73783,-2.94848,2.46284,-2.27358,-4.03439,1.69347,0.760957,-2.12306,0.663603,-0.370304,-1.44211,-1.4998,-3.88855,-3.03699,5.29927,3.89039,-2.62459,-2.39988,-2.98074,-2.53897,-1.92971,-3.73673,-0.715118,0.194047,3.61339,-2.89233,5.1091,-1.57604,-0.919088,2.62671,-1.43806,-1.89284,3.63589,3.81176,4.85493,0.0666658,0.542655
apple_1_2_55,1.11542,-0.358643,-2.27332,20.12,-0.993339,-1.74112,-3.77757,-2.89136,1.07895,-3.10121,-0.168156,-0.140301,-0.391307,3.0044,-1.0406,-3.01308,2.81538,-2.3455,-3.63081,2.69831,0.456453,-2.90583,0.0341337,0.447602,-1.41414,-1.14926,-3.68835,-3.02177,4.62023,3.83388,-2.62428,-2.35121,-3.17572,-2.34593,-2.46402,-3.61015,0.0148518,0.0879657,3.78636,-3.33618,4.43421,-1.55507,-0.808888,1.72118,-1.16307,-1.96351,3.34069,4.24854,4.80486,-0.145285,0.220655
apple_1_4_94,1.38621,0.0283743,-1.04512,15.457,-0.48782,-2.10498,-1.45337,-1.786,1.4157,-2.961,0.49472,2.16268,-1.37612,0.160204,0.127047,-2.36142,5.82451,-2.16118,-2.71523,1.02112,0.399778,-2.9136,0.972914,1.82188,-1.49186,0.474575,-0.72532,-2.25917,2.90419,-0.072017,-2.87651,-1.28058,-2.7093,-1.77488,0.805019,-1.71502,0.234251,-0.578517,1.80732,-2.47632,3.56303,-1.9561,2.21612,-0.992796,-2.35704,-2.88333,0.825157,1.15101,0.678266,-1.43214,0.472686
apple_2_1_139,0.626035,-2.2363,-1.94526,18.7845,-1.33218,-2.42005,-3.32867,-3.88425,-0.787098,-3.39301,1.40579,-1.02216,-0.178759,4.6871,0.572477,-3.25485,4.21436,-1.88347,-2.94127,2.19933,-0.215689,-1.84626,1.33116,0.789076,-2.73602,-2.10994,-0.199122,-4.39651,4.55307,2.57114,-3.09167,-2.46478,-4.01734,-2.09393,-1.9978,-2.06813,-1.25954,-0.0631345,8.46473,-2.89664,2.23419,-1.09372,-2.6121,0.231572,-1.20757,-1.81247,4.23813,4.44008,4.0811,-0.344871,-0.0147397
apple_2_1_45,0.334517,-1.21899,-3.02511,23.6423,-1.28814,-2.76063,-3.71588,-3.72115,0.306324,-3.41191,0.301797,-1.20602,-1.01197,5.21418,-0.402535,-3.95894,5.5471,-2.18937,-3.78231,1.78972,0.473993,-2.40139,-0.569021,0.83858,-2.01263,-1.37809,-1.65067,-5.22421,5.16391,3.48621,-2.9163,-2.80042,-4.05841,-2.3618,-1.65906,-3.06115,-1.64176,0.406656,8.1242,-3.01938,3.05732,-1.55144,-2.91866,1.32045,-1.44453,-2.02758,4.22603,3.29456,4.79127,0.105599,0.147857
apple_2_1_79,0.609174,-1.28473,-2.97509,22.184,-0.847051,-2.57312,-3.54116,-4.12589,0.172506,-3.68679,0.225724,-0.754613,-0.617541,5.7729,-0.631705,-3.13037,3.56204,-2.20048,-3.60951,0.89418,0.563674,-2.15617,0.580768,0.297854,-2.22541,-1.59398,-0.891565,-4.47749,6.14771,2.2286,-2.93761,-2.6904,-3.95894,-2.39362,-2.68538,-2.32493,-1.11077,-0.124754,7.27513,-2.07926,2.40922,-1.16995,-2.50738,1.46903,-1.90006,-1.75954,3.58844,4.79695,3.62283,0.213507,-0.199921
apple_2_4_130,1.39888,-1.55966,-1.45914,19.1322,-1.50784,-2.85052,-3.90241,-3.30733,0.574833,-2.9033,1.2851,-0.56838,-1.27713,2.96758,-0.2276,-2.60095,4.08767,-0.680158,-3.33136,1.53455,0.678591,-3.20598,0.107484,0.793289,-1.63576,-1.34108,-1.0786,-3.87829,4.97758,0.587078,-3.2889,-0.710314,-3.72405,-1.8661,-0.556896,-1.56506,-0.77305,0.845873,8.69272,-2.28512,1.56394,-0.596994,-1.8312,-0.966382,-1.80792,-2.65698,1.3523,4.02323,1.56718,-0.790708,-0.574714
apple_2_4_32,1.04803,-1.27182,-1.41471,13.9736,-0.820384,-2.078,-1.54237,-1.97743,0.0754953,-2.31355,0.714656,1.08021,-1.42434,-0.342523,-0.322209,-1.11396,5.79604,-1.11306,-1.64556,0.328104,0.921184,-2.2088,-0.807095,2.90098,-0.854371,0.365311,-0.766292,-2.69554,0.645056,-0.633553,-2.5536,0.561461,-1.78978,-1.46689,-0.802973,-0.86985,-0.897136,0.779932,5.16604,-1.01084,1.20914,-0.537925,-0.109905,-1.10761,-2.1061,-2.07703,1.11417,2.9936,-0.124233,-1.02656,-1.0969
